measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Austria,Female,All Ages,Years,1995,80.0,80.1,79.9
Life expectancy,Austria,Both,All Ages,Years,1995,76.8,76.9,76.8
Life expectancy,Belgium,Male,All Ages,Years,1995,73.5,73.6,73.4
Life expectancy,Belgium,Female,All Ages,Years,1995,80.1,80.3,80.0
Life expectancy,Belgium,Both,All Ages,Years,1995,76.9,76.9,76.8
Life expectancy,Cyprus,Male,All Ages,Years,1995,74.0,74.1,73.8
Life expectancy,Cyprus,Female,All Ages,Years,1995,79.5,79.7,79.4
Life expectancy,Cyprus,Both,All Ages,Years,1995,76.7,76.8,76.5
Life expectancy,Denmark,Male,All Ages,Years,1995,73.1,73.2,72.9
Life expectancy,Denmark,Female,All Ages,Years,1995,78.0,78.1,77.9
Life expectancy,Denmark,Both,All Ages,Years,1995,75.6,75.6,75.5
Life expectancy,Finland,Male,All Ages,Years,1995,72.9,73.0,72.8
Life expectancy,Finland,Female,All Ages,Years,1995,80.3,80.4,80.1
Life expectancy,Finland,Both,All Ages,Years,1995,76.7,76.8,76.6
Life expectancy,France,Male,All Ages,Years,1995,74.1,74.2,74.1
Life expectancy,France,Female,All Ages,Years,1995,82.1,82.2,82.1
Life expectancy,France,Both,All Ages,Years,1995,78.2,78.2,78.1
Life expectancy,Germany,Male,All Ages,Years,1995,73.3,73.3,73.2
Life expectancy,Germany,Female,All Ages,Years,1995,79.7,79.8,79.7
Life expectancy,Germany,Both,All Ages,Years,1995,76.6,76.7,76.6
Life expectancy,Greece,Male,All Ages,Years,1995,75.0,75.1,75.0
Life expectancy,Greece,Female,All Ages,Years,1995,80.6,80.7,80.5
Life expectancy,Greece,Both,All Ages,Years,1995,77.8,77.9,77.7
Life expectancy,Ireland,Male,All Ages,Years,1995,74.6,75.2,74.3
Life expectancy,Ireland,Female,All Ages,Years,1995,79.6,79.8,79.3
Life expectancy,Ireland,Both,All Ages,Years,1995,77.1,77.4,76.9
Life expectancy,Italy,Male,All Ages,Years,1995,74.8,74.8,74.7
Life expectancy,Italy,Female,All Ages,Years,1995,81.2,81.3,81.2
Life expectancy,Italy,Both,All Ages,Years,1995,78.1,78.1,78.0
Life expectancy,Luxembourg,Male,All Ages,Years,1995,73.5,73.7,73.3
Life expectancy,Luxembourg,Female,All Ages,Years,1995,80.1,80.3,79.9
Life expectancy,Luxembourg,Both,All Ages,Years,1995,76.9,77.0,76.7
Life expectancy,Malta,Male,All Ages,Years,1995,75.8,76.3,75.3
Life expectancy,Malta,Female,All Ages,Years,1995,80.9,81.4,80.5
Life expectancy,Malta,Both,All Ages,Years,1995,78.4,78.7,78.0
Life expectancy,Netherlands,Male,All Ages,Years,1995,74.7,74.8,74.6
Life expectancy,Netherlands,Female,All Ages,Years,1995,80.4,80.5,80.3
Life expectancy,Netherlands,Both,All Ages,Years,1995,77.6,77.7,77.5
Life expectancy,Portugal,Male,All Ages,Years,1995,71.7,71.8,71.7
Life expectancy,Portugal,Female,All Ages,Years,1995,79.2,79.3,79.1
Life expectancy,Portugal,Both,All Ages,Years,1995,75.5,75.5,75.4
Life expectancy,Spain,Male,All Ages,Years,1995,74.2,74.3,74.2
Life expectancy,Spain,Female,All Ages,Years,1995,81.6,81.7,81.6
Life expectancy,Spain,Both,All Ages,Years,1995,77.9,77.9,77.9
Life expectancy,Sweden,Male,All Ages,Years,1995,76.3,76.4,76.2
Life expectancy,Sweden,Female,All Ages,Years,1995,81.5,81.6,81.4
Life expectancy,Sweden,Both,All Ages,Years,1995,78.9,79.0,78.8
Life expectancy,United Kingdom,Male,All Ages,Years,1995,74.0,74.1,74.0
Life expectancy,United Kingdom,Female,All Ages,Years,1995,79.3,79.3,79.2
Life expectancy,United Kingdom,Both,All Ages,Years,1995,76.7,76.7,76.7
